127.0.0.1 - - [25/Sep/2024:08:58:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Sep/2024:08:58:51 +0900] "GET /webPro/CSS/days04/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:08:58:51 +0900] "GET /webPro/CSS/images/img_forest.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:01:30 +0900] "GET /webPro/CSS/days04/NewFile.html HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:01:31 +0900] "GET /webPro/CSS/days04/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:01:31 +0900] "GET /webPro/CSS/days04/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:15:25 +0900] "GET /webPro/CSS/days05/ex01.html HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:19:58 +0900] "GET /webPro/CSS/days05/ex01.html HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:24:58 +0900] "GET /webPro/CSS/days05/ex01.html HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:27:14 +0900] "GET /webPro/CSS/days05/ex01.html HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:28:59 +0900] "GET /webPro/CSS/days05/ex01.html HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:34:35 +0900] "GET /webPro/CSS/days05/ex02.html HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:34:41 +0900] "GET /webPro/CSS/days05/ex02.html HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:36:05 +0900] "GET /webPro/CSS/days05/ex02.html HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:36:08 +0900] "GET /webPro/CSS/days05/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:09:36:08 +0900] "GET /webPro/CSS/days05/ex02.html HTTP/1.1" 304 -
