127.0.0.1 - - [10/Oct/2024:08:57:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Oct/2024:08:57:53 +0900] "GET /webPro/javascript/days08/ex01.html HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [10/Oct/2024:08:57:53 +0900] "GET /webPro/resources/cdn-main/example.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:08:57:53 +0900] "GET /webPro/resources/cdn-main/example.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:09:18:33 +0900] "GET /webPro/javascript/days08/ex01.html HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [10/Oct/2024:09:18:35 +0900] "GET /webPro/images/SiSt.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:09:18:58 +0900] "GET /webPro/javascript/days08/ex01.html HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [10/Oct/2024:09:35:54 +0900] "GET /webPro/javascript/days08/ex01.html HTTP/1.1" 200 2919
0:0:0:0:0:0:0:1 - - [10/Oct/2024:09:35:58 +0900] "GET /webPro/javascript/days08/ex02.html HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [10/Oct/2024:09:36:00 +0900] "GET /webPro/javascript/days08/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:09:36:37 +0900] "GET /webPro/javascript/days08/ex02.html HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [10/Oct/2024:09:39:26 +0900] "GET /webPro/javascript/days08/ex03.html HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2024:09:39:39 +0900] "GET /webPro/javascript/days08/ex03.html HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [10/Oct/2024:09:39:39 +0900] "GET /webPro/javascript/days08/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:09:41:22 +0900] "GET /webPro/javascript/days08/ex03.html HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [10/Oct/2024:09:41:53 +0900] "GET /webPro/javascript/days08/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:09:41:57 +0900] "GET /webPro/javascript/days08/ex03.html HTTP/1.1" 304 -
