127.0.0.1 - - [19/Sep/2024:09:09:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:09:24 +0900] "GET /webPro/html/days06/ex01.html HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:09:24 +0900] "GET /webPro/html/days06/movie.mp4 HTTP/1.1" 206 318465
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:09:29 +0900] "GET /webPro/images/SiSt.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:15:36 +0900] "GET /webPro/html/days06/ex01.html HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:15:36 +0900] "GET /webPro/html/days06/movie.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:16:07 +0900] "GET /webPro/html/days06/ex01.html HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:17:40 +0900] "GET /webPro/html/days06/ex01.html HTTP/1.1" 200 2162
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:17:40 +0900] "GET /webPro/html/days06/movie.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:25:14 +0900] "GET /webPro/html/days06/ex02.html HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:25:14 +0900] "GET /webPro/html/days06/audi.jpeg HTTP/1.1" 200 57881
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:25:14 +0900] "GET /webPro/html/days06/ex01.html HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:25:14 +0900] "GET /webPro/html/days06/movie.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:32:14 +0900] "GET /webPro/html/days06/ex03.html HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:32:37 +0900] "GET /webPro/html/days06/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:32:45 +0900] "GET /webPro/html/days06/ex03.html HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:33:29 +0900] "GET /webPro/html/days06/ex03.html HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [19/Sep/2024:09:34:53 +0900] "GET /webPro/html/days06/ex03.html HTTP/1.1" 200 1272
