127.0.0.1 - - [23/Sep/2024:09:00:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:00:15 +0900] "GET /webPro/CSS/days02/ex12_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:00:56 +0900] "GET /webPro/CSS/days02/ex11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:05:34 +0900] "GET /webPro/CSS/days03/ex01_02.html HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:06:50 +0900] "GET /webPro/CSS/days03/ex01_02.html HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:06:50 +0900] "GET /webPro/images/SiSt.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:11:28 +0900] "GET /webPro/CSS/days03/ex01_02.html HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:11:29 +0900] "GET /webPro/CSS/days03/ex01_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:11:29 +0900] "GET /webPro/CSS/days03/ex01_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:13:21 +0900] "GET /webPro/CSS/days03/ex01_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:13:24 +0900] "GET /webPro/CSS/days03/ex01_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:13:25 +0900] "GET /webPro/CSS/days03/ex01_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:14:04 +0900] "GET /webPro/CSS/days03/ex01_02.html HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:16:11 +0900] "GET /webPro/CSS/days03/ex01_02.html HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:19:05 +0900] "GET /webPro/CSS/days03/ex01_02.html HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:19:05 +0900] "GET /webPro/CSS/days03/ex01_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:24:54 +0900] "GET /webPro/CSS/days03/ex01_03.html HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:27:15 +0900] "GET /webPro/CSS/days03/ex01_03.html HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:27:16 +0900] "GET /webPro/CSS/days03/ex01_03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:28:53 +0900] "GET /webPro/CSS/days03/bbs.html HTTP/1.1" 200 4403
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:29:11 +0900] "GET /webPro/CSS/days03/bbs.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:29:12 +0900] "GET /webPro/CSS/days03/bbs.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:29:12 +0900] "GET /webPro/CSS/days03/bbs.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:29:12 +0900] "GET /webPro/CSS/days03/bbs.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2024:09:31:21 +0900] "GET /webPro/CSS/days03/ex01_03.html HTTP/1.1" 200 1067
